,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Rice,16-08-2025,-,12679.38,Metric Tonnes,3250.60,3500.31,3736.82,Rs./Quintal
Cereals,Same/Savi,16-08-2025,-,7.00,Metric Tonnes,2100.00,2100.00,2100.00,Rs./Quintal
Cereals,Wheat,16-08-2025,2425.00,23954.47,Metric Tonnes,2474.67,2546.30,2584.67,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),17-08-2025,2775.00,142.16,Metric Tonnes,2048.16,2125.58,2212.27,Rs./Quintal
Cereals,Barley(Jau),17-08-2025,1980.00,186.55,Metric Tonnes,2201.84,2261.99,2302.93,Rs./Quintal
Cereals,Jowar(Sorghum),17-08-2025,3699.00,5.77,Metric Tonnes,2220.49,2474.38,2694.94,Rs./Quintal
Cereals,Kodo Millet(Varagu),17-08-2025,-,20.00,Metric Tonnes,2350.00,2350.00,2350.00,Rs./Quintal
Cereals,Maize,17-08-2025,2400.00,11709.06,Metric Tonnes,2070.88,2134.53,2177.31,Rs./Quintal
Cereals,Paddy(Basmati),17-08-2025,-,497.20,Metric Tonnes,2164.53,2849.50,3069.07,Rs./Quintal
Cereals,Paddy(Common),17-08-2025,2369.00,4815.02,Metric Tonnes,2132.96,2178.54,2214.93,Rs./Quintal
Cereals,Rice,17-08-2025,-,5716.89,Metric Tonnes,3218.89,3554.27,3853.75,Rs./Quintal
Cereals,Wheat,17-08-2025,2425.00,14453.66,Metric Tonnes,2487.90,2529.43,2565.93,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),18-08-2025,2775.00,1400.13,Metric Tonnes,2255.75,2442.56,2551.27,Rs./Quintal
Cereals,Barley(Jau),18-08-2025,1980.00,455.36,Metric Tonnes,2223.85,2271.46,2312.08,Rs./Quintal
Cereals,Jowar(Sorghum),18-08-2025,3699.00,747.39,Metric Tonnes,2569.12,3521.23,4211.66,Rs./Quintal
Cereals,Kodo Millet(Varagu),18-08-2025,-,49.71,Metric Tonnes,2342.36,2350.34,2366.31,Rs./Quintal
Cereals,Kutki,18-08-2025,-,30.13,Metric Tonnes,3578.50,3654.45,3654.45,Rs./Quintal
Cereals,Maize,18-08-2025,2400.00,17490.85,Metric Tonnes,2108.88,2179.72,2222.31,Rs./Quintal
Cereals,Paddy(Basmati),18-08-2025,-,1359.80,Metric Tonnes,2690.44,3674.28,3774.88,Rs./Quintal
Cereals,Paddy(Common),18-08-2025,2369.00,17173.69,Metric Tonnes,1883.29,2196.07,2155.10,Rs./Quintal
Cereals,Ragi(Finger Millet),18-08-2025,4886.00,27.24,Metric Tonnes,1241.04,3566.08,1577.70,Rs./Quintal
Cereals,Rice,18-08-2025,-,12082.58,Metric Tonnes,3208.63,3381.08,3615.51,Rs./Quintal
Cereals,Same/Savi,18-08-2025,-,7.00,Metric Tonnes,3950.00,4000.00,4500.00,Rs./Quintal
Cereals,Wheat,18-08-2025,2425.00,37742.76,Metric Tonnes,2531.73,2645.00,2739.33,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),19-08-2025,2775.00,1795.09,Metric Tonnes,2122.87,2359.50,2532.49,Rs./Quintal
Cereals,Barley(Jau),19-08-2025,1980.00,489.53,Metric Tonnes,2223.23,2261.64,2291.33,Rs./Quintal
Cereals,Foxtail Millet(Navane),19-08-2025,-,3.10,Metric Tonnes,1859.00,2679.00,2679.00,Rs./Quintal
Cereals,Jowar(Sorghum),19-08-2025,3699.00,943.00,Metric Tonnes,2455.20,3267.36,3885.30,Rs./Quintal
Cereals,Kodo Millet(Varagu),19-08-2025,-,100.54,Metric Tonnes,2301.50,2316.03,2316.03,Rs./Quintal
Cereals,Kutki,19-08-2025,-,50.10,Metric Tonnes,3583.83,3653.69,3653.69,Rs./Quintal
Cereals,Maize,19-08-2025,2400.00,17636.47,Metric Tonnes,2137.06,2196.89,2244.26,Rs./Quintal
Cereals,Paddy(Basmati),19-08-2025,-,1393.00,Metric Tonnes,3501.35,3628.94,3701.03,Rs./Quintal
Cereals,Paddy(Common),19-08-2025,2369.00,11653.46,Metric Tonnes,2097.36,2303.98,2441.83,Rs./Quintal
Cereals,Ragi(Finger Millet),19-08-2025,4886.00,9.65,Metric Tonnes,3109.88,3551.03,4009.93,Rs./Quintal
Cereals,Rice,19-08-2025,-,12713.84,Metric Tonnes,3356.46,3501.87,3659.01,Rs./Quintal
Cereals,Wheat,19-08-2025,2425.00,60444.54,Metric Tonnes,2495.92,2635.55,2749.47,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),20-08-2025,2775.00,1726.93,Metric Tonnes,2141.08,2316.40,2444.28,Rs./Quintal
Cereals,Barley(Jau),20-08-2025,1980.00,482.99,Metric Tonnes,2228.27,2269.35,2300.50,Rs./Quintal
Cereals,Foxtail Millet(Navane),20-08-2025,-,1.60,Metric Tonnes,2407.00,2407.00,2407.00,Rs./Quintal
Cereals,Jowar(Sorghum),20-08-2025,3699.00,880.30,Metric Tonnes,2392.84,2886.81,3402.30,Rs./Quintal
Cereals,Kodo Millet(Varagu),20-08-2025,-,118.98,Metric Tonnes,2300.00,2306.23,2309.34,Rs./Quintal
Cereals,Kutki,20-08-2025,-,51.83,Metric Tonnes,2700.00,3700.00,3700.00,Rs./Quintal
Cereals,Maize,20-08-2025,2400.00,22803.17,Metric Tonnes,2094.97,2162.50,2207.53,Rs./Quintal
Cereals,Paddy(Basmati),20-08-2025,-,794.00,Metric Tonnes,2188.03,2885.88,3032.46,Rs./Quintal
Cereals,Paddy(Common),20-08-2025,2369.00,18508.87,Metric Tonnes,2029.11,2193.80,2203.56,Rs./Quintal
Cereals,Ragi(Finger Millet),20-08-2025,4886.00,32.36,Metric Tonnes,3043.60,3348.64,3156.09,Rs./Quintal
Cereals,Rice,20-08-2025,-,11564.55,Metric Tonnes,3203.33,3418.63,3753.91,Rs./Quintal
Cereals,Wheat,20-08-2025,2425.00,58742.02,Metric Tonnes,2481.19,2578.41,2646.62,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),21-08-2025,2775.00,1920.37,Metric Tonnes,2118.53,2377.95,2561.75,Rs./Quintal
Cereals,Barley(Jau),21-08-2025,1980.00,364.53,Metric Tonnes,2227.71,2262.38,2289.99,Rs./Quintal
Cereals,Foxtail Millet(Navane),21-08-2025,-,5.30,Metric Tonnes,2440.00,2620.00,3010.00,Rs./Quintal
Cereals,Jowar(Sorghum),21-08-2025,3699.00,690.81,Metric Tonnes,2689.35,3515.08,4160.30,Rs./Quintal
Cereals,Kodo Millet(Varagu),21-08-2025,-,71.81,Metric Tonnes,2319.43,2382.13,2382.13,Rs./Quintal
Cereals,Kutki,21-08-2025,-,24.00,Metric Tonnes,3412.50,3475.00,3475.00,Rs./Quintal
Cereals,Maize,21-08-2025,2400.00,18174.33,Metric Tonnes,2095.96,2176.47,2214.37,Rs./Quintal
Cereals,Paddy(Basmati),21-08-2025,-,946.00,Metric Tonnes,1852.91,2857.80,3080.58,Rs./Quintal
Cereals,Paddy(Common),21-08-2025,2369.00,17938.04,Metric Tonnes,1939.25,2106.47,2234.01,Rs./Quintal
Cereals,Ragi(Finger Millet),21-08-2025,4886.00,5.06,Metric Tonnes,3124.23,3570.06,3936.50,Rs./Quintal
Cereals,Rice,21-08-2025,-,13779.64,Metric Tonnes,3156.74,3469.46,3875.59,Rs./Quintal
Cereals,Wheat,21-08-2025,2425.00,50298.25,Metric Tonnes,2489.98,2600.53,2678.10,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),22-08-2025,2775.00,1920.60,Metric Tonnes,2147.17,2365.84,2507.27,Rs./Quintal
Cereals,Barley(Jau),22-08-2025,1980.00,501.55,Metric Tonnes,2225.34,2279.49,2343.00,Rs./Quintal
Cereals,Foxtail Millet(Navane),22-08-2025,-,4.30,Metric Tonnes,1629.00,3189.00,3189.00,Rs./Quintal
Cereals,Jowar(Sorghum),22-08-2025,3699.00,534.68,Metric Tonnes,2973.40,3800.44,4371.87,Rs./Quintal
Cereals,Kodo Millet(Varagu),22-08-2025,-,254.30,Metric Tonnes,253.00,255.31,255.31,Rs./Quintal
Cereals,Kutki,22-08-2025,-,2.70,Metric Tonnes,3650.00,3650.00,3650.00,Rs./Quintal
Cereals,Maize,22-08-2025,2400.00,41469.24,Metric Tonnes,2044.33,2098.10,2142.10,Rs./Quintal
Cereals,Paddy(Basmati),22-08-2025,-,872.10,Metric Tonnes,2396.00,2469.07,2728.03,Rs./Quintal
Cereals,Paddy(Common),22-08-2025,2369.00,15533.40,Metric Tonnes,1913.84,2164.91,2185.36,Rs./Quintal
Cereals,Ragi(Finger Millet),22-08-2025,4886.00,34.89,Metric Tonnes,2616.80,2860.90,3191.87,Rs./Quintal
Cereals,Rice,22-08-2025,-,22095.11,Metric Tonnes,2949.21,3074.43,3292.29,Rs./Quintal
Cereals,Wheat,22-08-2025,2425.00,46486.34,Metric Tonnes,2489.07,2583.45,2660.27,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),23-08-2025,2775.00,1282.14,Metric Tonnes,2147.95,2327.12,2433.91,Rs./Quintal
Cereals,Barley(Jau),23-08-2025,1980.00,357.15,Metric Tonnes,2189.18,2250.91,2301.73,Rs./Quintal
Cereals,Jowar(Sorghum),23-08-2025,3699.00,616.20,Metric Tonnes,2812.26,3809.52,4536.95,Rs./Quintal
Cereals,Kodo Millet(Varagu),23-08-2025,-,53.90,Metric Tonnes,2443.81,2481.20,2481.20,Rs./Quintal
Cereals,Kutki,23-08-2025,-,105.78,Metric Tonnes,3335.00,3595.76,3595.76,Rs./Quintal
Cereals,Maize,23-08-2025,2400.00,20844.42,Metric Tonnes,2118.13,2167.69,2207.69,Rs./Quintal
Cereals,Paddy(Basmati),23-08-2025,-,604.50,Metric Tonnes,2360.10,2588.97,2780.10,Rs./Quintal
Cereals,Paddy(Common),23-08-2025,2369.00,7582.63,Metric Tonnes,2044.04,2118.37,2173.51,Rs./Quintal
Cereals,Ragi(Finger Millet),23-08-2025,4886.00,13.30,Metric Tonnes,3533.83,3539.47,3545.11,Rs./Quintal
Cereals,Rice,23-08-2025,-,11603.20,Metric Tonnes,3357.00,3476.79,3618.21,Rs./Quintal
Cereals,Same/Savi,23-08-2025,-,7.00,Metric Tonnes,2200.00,2200.00,2200.00,Rs./Quintal
Cereals,Wheat,23-08-2025,2425.00,29232.11,Metric Tonnes,2473.75,2583.88,2649.79,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),24-08-2025,2775.00,146.70,Metric Tonnes,2167.19,2268.98,2371.68,Rs./Quintal
Cereals,Barley(Jau),24-08-2025,1980.00,206.16,Metric Tonnes,2129.63,2188.00,2224.06,Rs./Quintal
Cereals,Jowar(Sorghum),24-08-2025,3699.00,28.90,Metric Tonnes,2095.74,2503.01,3173.89,Rs./Quintal
Cereals,Maize,24-08-2025,2400.00,10847.80,Metric Tonnes,2214.81,2260.95,2300.29,Rs./Quintal
Cereals,Paddy(Basmati),24-08-2025,-,332.00,Metric Tonnes,2637.74,2678.55,2768.16,Rs./Quintal
Cereals,Paddy(Common),24-08-2025,2369.00,3935.56,Metric Tonnes,2072.44,2130.88,2188.61,Rs./Quintal
Cereals,Ragi(Finger Millet),24-08-2025,4886.00,23.00,Metric Tonnes,3200.00,3200.00,3200.00,Rs./Quintal
Cereals,Rice,24-08-2025,-,4734.40,Metric Tonnes,3328.15,3551.90,3962.35,Rs./Quintal
Cereals,Wheat,24-08-2025,2425.00,12411.87,Metric Tonnes,2492.29,2542.30,2573.07,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),25-08-2025,2775.00,1511.80,Metric Tonnes,2149.74,2392.90,2535.36,Rs./Quintal
Cereals,Barley(Jau),25-08-2025,1980.00,345.58,Metric Tonnes,2224.41,2279.37,2317.92,Rs./Quintal
Cereals,Foxtail Millet(Navane),25-08-2025,-,30.10,Metric Tonnes,1241.19,2305.85,2739.40,Rs./Quintal
Cereals,Jowar(Sorghum),25-08-2025,3699.00,999.78,Metric Tonnes,2441.50,3134.51,3814.84,Rs./Quintal
Cereals,Kodo Millet(Varagu),25-08-2025,-,25.03,Metric Tonnes,2448.45,2478.77,2478.77,Rs./Quintal
Cereals,Maize,25-08-2025,2400.00,25324.36,Metric Tonnes,2115.39,2199.07,2229.62,Rs./Quintal
Cereals,Paddy(Basmati),25-08-2025,-,289.70,Metric Tonnes,2507.31,2828.82,3044.52,Rs./Quintal
Cereals,Paddy(Common),25-08-2025,2369.00,17002.24,Metric Tonnes,1995.89,2134.01,2220.20,Rs./Quintal
Cereals,Ragi(Finger Millet),25-08-2025,4886.00,20.28,Metric Tonnes,3402.05,3709.77,4008.71,Rs./Quintal
Cereals,Rice,25-08-2025,-,13245.33,Metric Tonnes,3139.65,3337.95,3571.28,Rs./Quintal
Cereals,Wheat,25-08-2025,2425.00,50484.31,Metric Tonnes,2491.91,2606.70,2704.00,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),26-08-2025,2775.00,1675.76,Metric Tonnes,2160.71,2420.88,2580.55,Rs./Quintal
Cereals,Barley(Jau),26-08-2025,1980.00,333.39,Metric Tonnes,2201.40,2271.84,2320.72,Rs./Quintal
Cereals,Foxtail Millet(Navane),26-08-2025,-,1.30,Metric Tonnes,3229.00,3229.00,3229.00,Rs./Quintal
Cereals,Hybrid Cumbu,26-08-2025,-,0.40,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),26-08-2025,3699.00,838.88,Metric Tonnes,2615.91,3573.94,4371.51,Rs./Quintal
Cereals,Kodo Millet(Varagu),26-08-2025,-,50.63,Metric Tonnes,2189.19,2192.40,2226.34,Rs./Quintal
Cereals,Kutki,26-08-2025,-,41.10,Metric Tonnes,3083.89,3603.36,3607.62,Rs./Quintal
Cereals,Maize,26-08-2025,2400.00,15115.38,Metric Tonnes,2111.64,2172.23,2214.67,Rs./Quintal
Cereals,Paddy(Basmati),26-08-2025,-,1194.50,Metric Tonnes,2633.70,2802.24,2860.16,Rs./Quintal
Cereals,Paddy(Common),26-08-2025,2369.00,10894.80,Metric Tonnes,1990.93,2137.87,2242.07,Rs./Quintal
Cereals,Ragi(Finger Millet),26-08-2025,4886.00,12.27,Metric Tonnes,3575.88,3760.37,3941.48,Rs./Quintal
Cereals,Rice,26-08-2025,-,10955.35,Metric Tonnes,3251.28,3431.87,3745.44,Rs./Quintal
Cereals,Same/Savi,26-08-2025,-,16.00,Metric Tonnes,2200.00,2200.00,2200.00,Rs./Quintal
Cereals,Wheat,26-08-2025,2425.00,51150.73,Metric Tonnes,2487.77,2613.92,2720.62,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),27-08-2025,2775.00,940.39,Metric Tonnes,2235.25,2318.41,2379.81,Rs./Quintal
Cereals,Barley(Jau),27-08-2025,1980.00,319.19,Metric Tonnes,2254.03,2293.37,2332.45,Rs./Quintal
Cereals,Jowar(Sorghum),27-08-2025,3699.00,180.81,Metric Tonnes,3402.40,3679.76,3953.67,Rs./Quintal
Cereals,Kodo Millet(Varagu),27-08-2025,-,28.00,Metric Tonnes,2371.86,2380.00,2380.00,Rs./Quintal
Cereals,Kutki,27-08-2025,-,10.40,Metric Tonnes,3388.46,3388.46,3388.46,Rs./Quintal
Cereals,Maize,27-08-2025,2400.00,17968.23,Metric Tonnes,2110.02,2190.64,2229.16,Rs./Quintal
Cereals,Paddy(Basmati),27-08-2025,-,531.70,Metric Tonnes,2529.83,2640.74,2708.94,Rs./Quintal
Cereals,Paddy(Common),27-08-2025,2369.00,5573.65,Metric Tonnes,2038.63,2086.63,2141.85,Rs./Quintal
Cereals,Ragi(Finger Millet),27-08-2025,4886.00,0.40,Metric Tonnes,5000.00,5400.00,5800.00,Rs./Quintal
Cereals,Rice,27-08-2025,-,10257.47,Metric Tonnes,3324.55,3466.02,3642.01,Rs./Quintal
Cereals,Same/Savi,27-08-2025,-,40.50,Metric Tonnes,2200.00,2200.00,2200.00,Rs./Quintal
Cereals,Wheat,27-08-2025,2425.00,37215.90,Metric Tonnes,2482.32,2549.58,2590.12,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),28-08-2025,2775.00,1708.51,Metric Tonnes,2063.71,2452.37,2653.71,Rs./Quintal
Cereals,Barley(Jau),28-08-2025,1980.00,382.17,Metric Tonnes,2204.55,2257.01,2307.02,Rs./Quintal
Cereals,Foxtail Millet(Navane),28-08-2025,-,12.00,Metric Tonnes,1050.00,2125.00,2480.00,Rs./Quintal
Cereals,Hybrid Cumbu,28-08-2025,-,0.04,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),28-08-2025,3699.00,1124.93,Metric Tonnes,2388.85,3012.14,3578.08,Rs./Quintal
Cereals,Kodo Millet(Varagu),28-08-2025,-,14.98,Metric Tonnes,2259.41,2259.41,2259.41,Rs./Quintal
Cereals,Kutki,28-08-2025,-,12.00,Metric Tonnes,3099.00,3201.00,3201.00,Rs./Quintal
Cereals,Maize,28-08-2025,2400.00,18377.21,Metric Tonnes,2091.04,2180.66,2222.40,Rs./Quintal
Cereals,Paddy(Basmati),28-08-2025,-,1695.70,Metric Tonnes,2112.03,3518.19,3653.88,Rs./Quintal
Cereals,Paddy(Common),28-08-2025,2369.00,11804.38,Metric Tonnes,1996.27,2229.66,2364.04,Rs./Quintal
Cereals,Ragi(Finger Millet),28-08-2025,4886.00,32.24,Metric Tonnes,3551.48,3806.87,4091.03,Rs./Quintal
Cereals,Rice,28-08-2025,-,13854.96,Metric Tonnes,3229.85,3412.36,3851.80,Rs./Quintal
Cereals,Wheat,28-08-2025,2425.00,61976.04,Metric Tonnes,2491.22,2608.86,2699.16,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),29-08-2025,2775.00,1674.86,Metric Tonnes,2098.90,2381.87,2564.55,Rs./Quintal
Cereals,Barley(Jau),29-08-2025,1980.00,744.57,Metric Tonnes,2283.65,2319.98,2355.89,Rs./Quintal
Cereals,Foxtail Millet(Navane),29-08-2025,-,5.10,Metric Tonnes,1297.45,2223.92,2223.92,Rs./Quintal
Cereals,Jowar(Sorghum),29-08-2025,3699.00,496.61,Metric Tonnes,2806.08,3515.51,3977.20,Rs./Quintal
Cereals,Kodo Millet(Varagu),29-08-2025,-,49.00,Metric Tonnes,2246.94,2314.80,2314.80,Rs./Quintal
Cereals,Kutki,29-08-2025,-,37.00,Metric Tonnes,2762.16,2862.16,2862.16,Rs./Quintal
Cereals,Maize,29-08-2025,2400.00,43687.65,Metric Tonnes,2079.49,2132.42,2177.20,Rs./Quintal
Cereals,Paddy(Basmati),29-08-2025,-,4324.70,Metric Tonnes,2787.19,2820.90,2853.02,Rs./Quintal
Cereals,Paddy(Common),29-08-2025,2369.00,11814.33,Metric Tonnes,2130.56,2236.41,2269.11,Rs./Quintal
Cereals,Ragi(Finger Millet),29-08-2025,4886.00,0.40,Metric Tonnes,5200.00,5400.00,5600.00,Rs./Quintal
Cereals,Rice,29-08-2025,-,25704.00,Metric Tonnes,3294.05,3402.41,3526.73,Rs./Quintal
Cereals,Wheat,29-08-2025,2425.00,59517.58,Metric Tonnes,2489.53,2589.72,2666.07,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),30-08-2025,2775.00,1884.42,Metric Tonnes,2109.60,2345.97,2496.12,Rs./Quintal
Cereals,Barley(Jau),30-08-2025,1980.00,297.91,Metric Tonnes,2250.54,2292.87,2332.26,Rs./Quintal
Cereals,Foxtail Millet(Navane),30-08-2025,-,55.00,Metric Tonnes,1550.00,2704.18,4195.45,Rs./Quintal
Cereals,Jowar(Sorghum),30-08-2025,3699.00,334.46,Metric Tonnes,3032.08,4000.02,4594.18,Rs./Quintal
Cereals,Maize,30-08-2025,2400.00,20260.75,Metric Tonnes,2122.84,2187.62,2228.78,Rs./Quintal
Cereals,Paddy(Basmati),30-08-2025,-,2991.50,Metric Tonnes,2785.77,2802.90,2824.48,Rs./Quintal
Cereals,Paddy(Common),30-08-2025,2369.00,9220.06,Metric Tonnes,2079.84,2171.04,2231.41,Rs./Quintal
Cereals,Ragi(Finger Millet),30-08-2025,4886.00,5.30,Metric Tonnes,3396.23,3418.87,3441.51,Rs./Quintal
Cereals,Rice,30-08-2025,-,16175.16,Metric Tonnes,3236.16,3492.37,3739.56,Rs./Quintal
Cereals,Wheat,30-08-2025,2425.00,36426.39,Metric Tonnes,2508.11,2590.49,2655.68,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),31-08-2025,2775.00,98.10,Metric Tonnes,2118.22,2227.23,2310.15,Rs./Quintal
Cereals,Barley(Jau),31-08-2025,1980.00,115.89,Metric Tonnes,2254.28,2284.29,2303.52,Rs./Quintal
Cereals,Jowar(Sorghum),31-08-2025,3699.00,2.70,Metric Tonnes,2232.59,2643.70,3295.56,Rs./Quintal
Cereals,Kodo Millet(Varagu),31-08-2025,-,13.00,Metric Tonnes,2100.00,2190.00,2190.00,Rs./Quintal
Cereals,Kutki,31-08-2025,-,45.00,Metric Tonnes,3427.78,3427.78,3427.78,Rs./Quintal
Cereals,Maize,31-08-2025,2400.00,17823.15,Metric Tonnes,2024.79,2076.91,2121.95,Rs./Quintal
Cereals,Paddy(Basmati),31-08-2025,-,1763.00,Metric Tonnes,2793.28,2813.44,2833.61,Rs./Quintal
Cereals,Paddy(Common),31-08-2025,2369.00,9579.14,Metric Tonnes,1940.33,2020.66,2083.74,Rs./Quintal
Cereals,Rice,31-08-2025,-,5693.86,Metric Tonnes,3060.49,3128.19,3193.48,Rs./Quintal
Cereals,Same/Savi,31-08-2025,-,5.00,Metric Tonnes,2200.00,2200.00,2200.00,Rs./Quintal
Cereals,Wheat,31-08-2025,2425.00,13008.05,Metric Tonnes,2501.58,2549.88,2587.97,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),01-09-2025,2775.00,1204.33,Metric Tonnes,2107.36,2398.32,2603.00,Rs./Quintal
Cereals,Barley(Jau),01-09-2025,1980.00,446.24,Metric Tonnes,2222.75,2262.70,2304.65,Rs./Quintal
Cereals,Foxtail Millet(Navane),01-09-2025,-,2.40,Metric Tonnes,2191.67,2191.67,2314.17,Rs./Quintal
Cereals,Jowar(Sorghum),01-09-2025,3699.00,933.62,Metric Tonnes,2586.33,3129.64,3597.65,Rs./Quintal
Cereals,Kutki,01-09-2025,-,70.27,Metric Tonnes,3608.34,3632.35,3632.35,Rs./Quintal
Cereals,Maize,01-09-2025,2400.00,20712.10,Metric Tonnes,2067.90,2238.85,2254.67,Rs./Quintal
Cereals,Paddy(Basmati),01-09-2025,-,851.00,Metric Tonnes,2679.38,2754.02,2841.37,Rs./Quintal
Cereals,Paddy(Common),01-09-2025,2369.00,15228.70,Metric Tonnes,2062.99,2229.28,2320.24,Rs./Quintal
Cereals,Ragi(Finger Millet),01-09-2025,4886.00,18.40,Metric Tonnes,3409.77,3717.93,3983.27,Rs./Quintal
Cereals,Rice,01-09-2025,-,13301.86,Metric Tonnes,3125.63,3282.91,3481.50,Rs./Quintal
Cereals,Wheat,01-09-2025,2425.00,52042.98,Metric Tonnes,2496.17,2613.08,2725.35,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),02-09-2025,2775.00,1452.48,Metric Tonnes,2098.79,2458.15,2677.57,Rs./Quintal
Cereals,Barley(Jau),02-09-2025,1980.00,293.89,Metric Tonnes,2217.10,2285.95,2341.63,Rs./Quintal
Cereals,Hybrid Cumbu,02-09-2025,-,0.30,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),02-09-2025,3699.00,659.04,Metric Tonnes,2552.67,3359.23,3902.08,Rs./Quintal
Cereals,Kodo Millet(Varagu),02-09-2025,-,46.04,Metric Tonnes,2197.74,2248.31,2265.16,Rs./Quintal
Cereals,Kutki,02-09-2025,-,145.55,Metric Tonnes,2871.04,3491.39,3505.85,Rs./Quintal
Cereals,Maize,02-09-2025,2400.00,12856.69,Metric Tonnes,2002.93,2160.51,2149.67,Rs./Quintal
Cereals,Paddy(Basmati),02-09-2025,-,223.00,Metric Tonnes,2731.61,2796.86,2945.07,Rs./Quintal
Cereals,Paddy(Common),02-09-2025,2369.00,12632.92,Metric Tonnes,1949.66,2088.21,2139.18,Rs./Quintal
Cereals,Ragi(Finger Millet),02-09-2025,4886.00,3.95,Metric Tonnes,3444.73,3666.59,3952.89,Rs./Quintal
Cereals,Rice,02-09-2025,-,9601.69,Metric Tonnes,3280.54,3373.67,3513.34,Rs./Quintal
Cereals,Wheat,02-09-2025,2425.00,46410.11,Metric Tonnes,2508.35,2621.57,2715.09,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),03-09-2025,2775.00,1390.40,Metric Tonnes,2130.05,2463.28,2671.73,Rs./Quintal
Cereals,Barley(Jau),03-09-2025,1980.00,530.05,Metric Tonnes,2224.90,2258.66,2292.98,Rs./Quintal
Cereals,Foxtail Millet(Navane),03-09-2025,-,5.60,Metric Tonnes,2020.00,2360.00,2420.00,Rs./Quintal
Cereals,Jowar(Sorghum),03-09-2025,3699.00,651.78,Metric Tonnes,2578.78,3105.86,3591.89,Rs./Quintal
Cereals,Kodo Millet(Varagu),03-09-2025,-,9.21,Metric Tonnes,2381.70,2381.70,2381.70,Rs./Quintal
Cereals,Kutki,03-09-2025,-,40.50,Metric Tonnes,3134.56,3389.37,3389.37,Rs./Quintal
Cereals,Maize,03-09-2025,2400.00,16901.48,Metric Tonnes,2038.52,2162.75,2195.05,Rs./Quintal
Cereals,Paddy(Basmati),03-09-2025,-,1958.50,Metric Tonnes,2522.31,3016.59,3332.09,Rs./Quintal
Cereals,Paddy(Common),03-09-2025,2369.00,15049.59,Metric Tonnes,2002.77,2140.94,2241.07,Rs./Quintal
Cereals,Ragi(Finger Millet),03-09-2025,4886.00,28.48,Metric Tonnes,3807.17,3890.67,3967.85,Rs./Quintal
Cereals,Rice,03-09-2025,-,12014.64,Metric Tonnes,3127.05,3297.45,3517.43,Rs./Quintal
Cereals,Wheat,03-09-2025,2425.00,41665.01,Metric Tonnes,2494.35,2608.78,2680.50,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),04-09-2025,2775.00,1273.10,Metric Tonnes,2187.30,2460.83,2625.37,Rs./Quintal
Cereals,Barley(Jau),04-09-2025,1980.00,434.30,Metric Tonnes,2158.93,2219.52,2320.35,Rs./Quintal
Cereals,Foxtail Millet(Navane),04-09-2025,-,6.00,Metric Tonnes,1425.00,1975.00,1975.00,Rs./Quintal
Cereals,Hybrid Cumbu,04-09-2025,-,0.05,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),04-09-2025,3699.00,732.89,Metric Tonnes,2511.31,3460.64,4131.52,Rs./Quintal
Cereals,Kodo Millet(Varagu),04-09-2025,-,17.50,Metric Tonnes,2300.00,2325.00,2350.00,Rs./Quintal
Cereals,Kutki,04-09-2025,-,49.22,Metric Tonnes,3120.10,3206.50,3218.74,Rs./Quintal
Cereals,Maize,04-09-2025,2400.00,13876.08,Metric Tonnes,2070.91,2170.13,2190.83,Rs./Quintal
Cereals,Paddy(Basmati),04-09-2025,-,2352.90,Metric Tonnes,2421.00,3003.47,3245.68,Rs./Quintal
Cereals,Paddy(Common),04-09-2025,2369.00,12420.95,Metric Tonnes,1970.11,2124.40,2188.28,Rs./Quintal
