,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Maize,06-01-2025,2400.00,45032.14,Metric Tonnes,2071.11,2275.41,2406.87,Rs./Quintal
Cereals,Paddy(Basmati),06-01-2025,-,19813.40,Metric Tonnes,2595.16,2906.65,3012.85,Rs./Quintal
Cereals,Paddy(Common),06-01-2025,2369.00,214991.43,Metric Tonnes,2244.28,2380.04,2524.09,Rs./Quintal
Cereals,Ragi(Finger Millet),06-01-2025,4886.00,254.05,Metric Tonnes,3046.65,3202.15,3415.72,Rs./Quintal
Cereals,Rice,06-01-2025,-,27410.36,Metric Tonnes,4107.33,4223.96,4323.11,Rs./Quintal
Cereals,Wheat,06-01-2025,2425.00,27646.35,Metric Tonnes,2774.07,2959.04,3106.93,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),07-01-2025,2775.00,3273.52,Metric Tonnes,2501.79,2623.01,2697.48,Rs./Quintal
Cereals,Barley(Jau),07-01-2025,1980.00,419.89,Metric Tonnes,2309.94,2380.68,2411.44,Rs./Quintal
Cereals,Foxtail Millet(Navane),07-01-2025,-,7.70,Metric Tonnes,1993.16,2658.48,3680.56,Rs./Quintal
Cereals,Hybrid Cumbu,07-01-2025,-,0.40,Metric Tonnes,4000.00,4500.00,5000.00,Rs./Quintal
Cereals,Jowar(Sorghum),07-01-2025,3699.00,877.28,Metric Tonnes,2711.60,3348.01,4175.66,Rs./Quintal
Cereals,Kodo Millet(Varagu),07-01-2025,-,297.65,Metric Tonnes,2071.14,2308.04,2319.95,Rs./Quintal
Cereals,Kutki,07-01-2025,-,72.00,Metric Tonnes,3171.53,3200.35,3206.11,Rs./Quintal
Cereals,Maize,07-01-2025,2400.00,38647.83,Metric Tonnes,2131.88,2306.33,2623.17,Rs./Quintal
Cereals,Paddy(Basmati),07-01-2025,-,16046.01,Metric Tonnes,2621.89,2943.60,3071.06,Rs./Quintal
Cereals,Paddy(Common),07-01-2025,2369.00,216568.62,Metric Tonnes,2251.48,2360.70,2437.83,Rs./Quintal
Cereals,Ragi(Finger Millet),07-01-2025,4886.00,193.88,Metric Tonnes,3490.07,3575.72,3649.94,Rs./Quintal
Cereals,Rice,07-01-2025,-,22527.13,Metric Tonnes,3288.19,3489.12,3609.08,Rs./Quintal
Cereals,Same/Savi,07-01-2025,-,27.00,Metric Tonnes,3000.00,3325.00,3650.00,Rs./Quintal
Cereals,Wheat,07-01-2025,2425.00,29764.91,Metric Tonnes,2782.45,2968.15,3108.25,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),08-01-2025,2775.00,3139.23,Metric Tonnes,2491.33,2601.09,2676.90,Rs./Quintal
Cereals,Barley(Jau),08-01-2025,1980.00,463.80,Metric Tonnes,2297.44,2378.51,2404.03,Rs./Quintal
Cereals,Foxtail Millet(Navane),08-01-2025,-,17.40,Metric Tonnes,1909.00,3351.00,3351.00,Rs./Quintal
Cereals,Jowar(Sorghum),08-01-2025,3699.00,779.86,Metric Tonnes,2662.55,3446.23,3883.60,Rs./Quintal
Cereals,Kodo Millet(Varagu),08-01-2025,-,246.20,Metric Tonnes,2131.47,2191.13,2222.18,Rs./Quintal
Cereals,Kutki,08-01-2025,-,22.25,Metric Tonnes,3128.43,3195.84,3195.84,Rs./Quintal
Cereals,Maize,08-01-2025,2400.00,34900.90,Metric Tonnes,2104.83,2314.72,2408.46,Rs./Quintal
Cereals,Paddy(Basmati),08-01-2025,-,19048.90,Metric Tonnes,2653.87,2938.02,3044.27,Rs./Quintal
Cereals,Paddy(Common),08-01-2025,2369.00,169392.02,Metric Tonnes,2259.93,2393.66,2469.88,Rs./Quintal
Cereals,Ragi(Finger Millet),08-01-2025,4886.00,154.20,Metric Tonnes,3000.43,3272.21,3425.22,Rs./Quintal
Cereals,Rice,08-01-2025,-,25437.20,Metric Tonnes,2996.54,3199.11,3529.90,Rs./Quintal
Cereals,Wheat,08-01-2025,2425.00,31435.59,Metric Tonnes,2796.43,2930.02,3044.11,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),09-01-2025,2775.00,3008.54,Metric Tonnes,2489.83,2583.34,2676.91,Rs./Quintal
Cereals,Barley(Jau),09-01-2025,1980.00,417.23,Metric Tonnes,2350.00,2394.06,2423.76,Rs./Quintal
Cereals,Foxtail Millet(Navane),09-01-2025,-,17.50,Metric Tonnes,2169.00,2569.00,3113.00,Rs./Quintal
Cereals,Jowar(Sorghum),09-01-2025,3699.00,950.24,Metric Tonnes,2524.77,3028.91,3609.70,Rs./Quintal
Cereals,Kodo Millet(Varagu),09-01-2025,-,202.61,Metric Tonnes,2061.46,2316.48,2357.26,Rs./Quintal
Cereals,Kutki,09-01-2025,-,56.40,Metric Tonnes,3000.00,3151.16,3151.16,Rs./Quintal
Cereals,Maize,09-01-2025,2400.00,25118.57,Metric Tonnes,2114.08,2275.36,2400.29,Rs./Quintal
Cereals,Paddy(Basmati),09-01-2025,-,14281.50,Metric Tonnes,2861.55,3200.33,3329.32,Rs./Quintal
Cereals,Paddy(Common),09-01-2025,2369.00,367088.54,Metric Tonnes,2296.37,2341.18,2373.45,Rs./Quintal
Cereals,Ragi(Finger Millet),09-01-2025,4886.00,205.72,Metric Tonnes,3216.71,3475.75,3951.82,Rs./Quintal
Cereals,Rice,09-01-2025,-,24145.42,Metric Tonnes,3172.90,3300.70,3464.17,Rs./Quintal
Cereals,Same/Savi,09-01-2025,-,10.00,Metric Tonnes,2100.00,2100.00,2100.00,Rs./Quintal
Cereals,Wheat,09-01-2025,2425.00,25475.52,Metric Tonnes,2817.51,2914.91,2973.63,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),10-01-2025,2775.00,3672.43,Metric Tonnes,2507.39,2620.85,2719.98,Rs./Quintal
Cereals,Barley(Jau),10-01-2025,1980.00,271.10,Metric Tonnes,2409.12,2455.45,2510.92,Rs./Quintal
Cereals,Foxtail Millet(Navane),10-01-2025,-,14.20,Metric Tonnes,2110.00,2446.00,3160.00,Rs./Quintal
Cereals,Jowar(Sorghum),10-01-2025,3699.00,937.81,Metric Tonnes,2632.99,3268.70,3752.25,Rs./Quintal
Cereals,Kodo Millet(Varagu),10-01-2025,-,273.27,Metric Tonnes,2073.81,2236.02,2410.11,Rs./Quintal
Cereals,Kutki,10-01-2025,-,34.00,Metric Tonnes,3020.59,3020.59,3088.24,Rs./Quintal
Cereals,Maize,10-01-2025,2400.00,43279.08,Metric Tonnes,2124.43,2278.05,2392.35,Rs./Quintal
Cereals,Paddy(Basmati),10-01-2025,-,15446.60,Metric Tonnes,2623.94,2799.52,2898.31,Rs./Quintal
Cereals,Paddy(Common),10-01-2025,2369.00,461622.11,Metric Tonnes,2271.31,2327.54,2363.25,Rs./Quintal
Cereals,Ragi(Finger Millet),10-01-2025,4886.00,193.53,Metric Tonnes,3162.31,3452.27,3684.33,Rs./Quintal
Cereals,Rice,10-01-2025,-,22393.78,Metric Tonnes,3321.53,3480.17,3680.59,Rs./Quintal
Cereals,Wheat,10-01-2025,2425.00,34609.40,Metric Tonnes,2678.54,2958.54,3062.82,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),11-01-2025,2775.00,3472.68,Metric Tonnes,2505.50,2601.40,2664.16,Rs./Quintal
Cereals,Barley(Jau),11-01-2025,1980.00,237.10,Metric Tonnes,2393.48,2430.39,2471.11,Rs./Quintal
Cereals,Foxtail Millet(Navane),11-01-2025,-,13.00,Metric Tonnes,2019.00,2299.00,3010.00,Rs./Quintal
Cereals,Jowar(Sorghum),11-01-2025,3699.00,591.21,Metric Tonnes,2754.47,3168.28,3543.04,Rs./Quintal
Cereals,Kodo Millet(Varagu),11-01-2025,-,184.99,Metric Tonnes,2138.39,2283.94,2283.94,Rs./Quintal
Cereals,Kutki,11-01-2025,-,22.90,Metric Tonnes,3142.90,3200.00,3200.00,Rs./Quintal
Cereals,Maize,11-01-2025,2400.00,15955.51,Metric Tonnes,2053.93,2254.77,2368.02,Rs./Quintal
Cereals,Paddy(Basmati),11-01-2025,-,8925.60,Metric Tonnes,2598.51,2760.69,2871.96,Rs./Quintal
Cereals,Paddy(Common),11-01-2025,2369.00,129853.94,Metric Tonnes,2283.96,2353.36,2391.10,Rs./Quintal
Cereals,Ragi(Finger Millet),11-01-2025,4886.00,108.40,Metric Tonnes,3180.44,3188.12,3195.68,Rs./Quintal
Cereals,Rice,11-01-2025,-,16984.70,Metric Tonnes,3080.27,3214.38,3402.62,Rs./Quintal
Cereals,Same/Savi,11-01-2025,-,46.00,Metric Tonnes,1800.00,2095.65,2097.83,Rs./Quintal
Cereals,Wheat,11-01-2025,2425.00,22217.51,Metric Tonnes,2808.32,2927.97,3041.70,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),12-01-2025,2775.00,582.15,Metric Tonnes,2376.19,2453.17,2549.50,Rs./Quintal
Cereals,Barley(Jau),12-01-2025,1980.00,56.90,Metric Tonnes,2532.44,2563.37,2600.60,Rs./Quintal
Cereals,Hybrid Cumbu,12-01-2025,-,0.20,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),12-01-2025,3699.00,77.38,Metric Tonnes,2063.35,2143.00,2287.40,Rs./Quintal
Cereals,Kodo Millet(Varagu),12-01-2025,-,51.67,Metric Tonnes,2327.42,2327.42,2348.39,Rs./Quintal
Cereals,Kutki,12-01-2025,-,26.12,Metric Tonnes,3100.00,3126.88,3127.61,Rs./Quintal
Cereals,Maize,12-01-2025,2400.00,9889.04,Metric Tonnes,2208.36,2317.22,3213.29,Rs./Quintal
Cereals,Paddy(Basmati),12-01-2025,-,4401.15,Metric Tonnes,2618.33,2750.96,2854.46,Rs./Quintal
Cereals,Paddy(Common),12-01-2025,2369.00,22582.56,Metric Tonnes,2204.95,2388.48,2457.11,Rs./Quintal
Cereals,Ragi(Finger Millet),12-01-2025,4886.00,44.00,Metric Tonnes,2963.64,3045.45,3263.64,Rs./Quintal
Cereals,Rice,12-01-2025,-,9576.55,Metric Tonnes,3097.78,3395.58,3748.75,Rs./Quintal
Cereals,Same/Savi,12-01-2025,-,25.00,Metric Tonnes,1900.00,1900.00,1900.00,Rs./Quintal
Cereals,Wheat,12-01-2025,2425.00,8390.99,Metric Tonnes,2671.35,2848.46,2892.83,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),13-01-2025,2775.00,2193.33,Metric Tonnes,2459.18,2556.92,2646.02,Rs./Quintal
Cereals,Barley(Jau),13-01-2025,1980.00,225.13,Metric Tonnes,2358.58,2426.30,2490.78,Rs./Quintal
Cereals,Hybrid Cumbu,13-01-2025,-,0.20,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jaee,13-01-2025,-,0.48,Metric Tonnes,3071.00,3071.00,3071.00,Rs./Quintal
Cereals,Jowar(Sorghum),13-01-2025,3699.00,669.10,Metric Tonnes,2680.73,3309.09,3687.94,Rs./Quintal
Cereals,Kodo Millet(Varagu),13-01-2025,-,354.64,Metric Tonnes,2133.73,2341.54,2370.55,Rs./Quintal
